image,question,answer
image42,What are quite variable in size having characteristic bubbly cytoplasm and anisonucleocytosis?,tumour cells
image43,What is composed of dense fibrous tissue which shows nonspecific inflammation?,stromal core
image43,What is the surface covered by?,endocervical mucosa with squamous metaplasia
image43,What is the stromal core composed of?,dense fibrous tissue which shows nonspecific inflammation
image44,"What maginification are pallor or halos around nuclei,  prominent keratohyalin granules,  and related cytopathic changes seen at?",higher magnification
image44,What do common warts contain?,zones of papillary epidermal proliferation
image44,What are seen at higher magnification (bottom)?,cytopathic changes
image44,What contain zones of papillary epidermal proliferation that often radiate symmetrically like the points of a crown?,common warts
image45,"What shows marked epidermal hyperplasia,  downward extension of rete ridges psoriasiform hyperplasia,  and prominent parakeratotic scale with infiltrating neutrophils?",microscopic examination
image46,What do testicular teratomas contain?,mature cells from endodermal
image46,"What contain mature cells from endodermal,  mesodermal,  and ectodermal lines?",testicular teratomas
image47,What does sectioned surface of the parotid gland show?,lobules of grey-white circumscribed tumour having semitranslucent parenchyma
image47,What shows lobules of grey-white circumscribed tumour having semitranslucent parenchyma?,sectioned surface the parotid gland
image48,What are crush-smeared by flat pressure with cover slip or glass slide ?,semisolid aspirates
image48,What are crush-semisolid aspirates by?,flat pressure with cover slip or glass slide
image49,What aspirate shows megaloblastic erythropoiesis?,examination of bone marrow
image50,"What is opened to show multiple submucosal,  myometrial,  and subserosal gray-white tumors,  each with a characteristic whorled appearance on cut section?",the uterus
image51,What does the microscopic appearance of leiomyoma show?,bundles of normal-looking smooth muscle cells
image51,What shows bundles of normal-looking smooth muscle cells?,microscopic appearance of leiomyoma
image52,What is stained with cytokeratin for epithelial cells?,same cellblock
image53,What is the cyst wall densely infiltrated by?,chronic inflammatory cells
image53,"What is densely infiltrated by chronic inflammatory cells, chiefly lymphocytes, plasma cells and macrophages?",cyst wall
image54,"What is comprised of ducts, acini, tubules, sheets and strands of cuboidal and myoepithelial cells?",epithelial element
image55,"What is filled by a large,  layered thrombus?",the lumen
image55,What is the lumen filled by?,a large
image55,What is attenuated?,the wall of the aneurysm
image56,What is are the small glands crowded in between?,larger benign glands
image56,"What shows several small malignant glands with enlarged nuclei,  prominent nucleoli,  and dark cytoplasm,  as compared with the larger,  benign gland?",higher magnification
image56,"What does higher magnification show with enlarged nuclei,  prominent nucleoli,  and dark cytoplasm,  as compared with the larger,  benign gland?",small malignant glands
image56,What is crowded in between larger benign glands?,small glands
image57,What is involved by a superficial bacterial infection showing the characteristic erythematous scablike lesions crusted with dried serum?,a child's arm
image57,What is a child 's arm involved by ?,a superficial bacterial infection showing the characteristic erythematous scablike lesions crusted with dried serum
image57,How is a child 's arm involved?,by a superficial bacterial infection
image58,What has the stroma caseating?,epithelioid cell granulomas having langhans 'giant cells and peripheral layer of lymphocytes
image59,"What are relatively small,  symmetric,  and uniformly pigmented?",melanocytic nevi
image60,What is cut surface?,grey-white fleshy with areas of haemorrhage and necrosis
image60,What is somewhat circumscribed?,lobulated tumour infiltrating the skeletal muscle
image60,What is grey-white fleshy with areas of haemorrhage and necrosis?,cut surface
image61,What is periodic acid-Schiff stain?,luminal obliteration
image62,What show distinct nuclear inclusions?,infected cells
image62,What do infected cells show?,distinct nuclear and ill-defined cytoplasmic
image63,What shows mitotic figures in the layers of squamous epithelium?,photomicrograph on right under higher magnification
image63,What does photomicrograph on right under higher magnification show?,mitotic figures in the layers of squamous epithelium
image64,"What is seen to extend into renal p arenchyma, compressing the cortex as a thin rim at the periphery?",cystic change
image64,What is the cystic change seen to extend into?,renal p arenchyma
image64,What are communicating with the pelvi-calyceal system unlike polycystic kidney?,these cysts
image64,What are these cysts communicating with?,pelvi-calyceal system unlike polycystic kidney
image65,"What are widened and thickened due to congestion, oedema and mild fibrosis?",the alveolar septa
image65,Why are the alveolar septa widened?,due to congestion
image65,What contain heart failure cells alveolar macrophages containing haemosiderin pigment?,the alveolar lumina
image65,What do the alveolar lumina contain failure cells alveolar macrophages containing haemosiderin pigment?,heart failure cells (alveolar macrophages containing haemosiderin pigment) 
image66,What is visible in this gross specimen?,a solitary
image66,What is visible in this gross specimen?,a solitary
image67,What does the cortex show?,characteristic 'flea bitten kidney '
image67,What is the kidney enlarged in?,size and weight
image68,What does this correspond to in the form of homogeneously staining regions?,amplified n-myc
image68,What do renal tubular epithelial cells in the lower half of the photograph show ?,no nuclear staining and background (green) cytoplasmic staining
image68,What corresponds to amplified N-MYC in the form of homogeneously staining regions?,the neuroblastoma cells on the upper half of the photo with large areas of staining (yellow-green)
image68,What show no nuclear staining and background cytoplasmic staining?,renal tubular epithelial cells
image69,"What are small, uniform, lymphocyte-like with scanty cytoplasm?",individual tumour cells
image69,"What are arranged in sheets, cords or aggregates and at places form pseudorosettes?",tumour cells
image70,What is an asbestos fibre coated with giving it beaded or dumbbell-shaped appearance with bulbous ends?,asbestos body
image71,What is the segmental distribution in this case?,typical of anca (anti-neutrophil cytoplasmic antibody)- associated crescentic glomerulonephritis
image71,What is typical of ANCA (anti-neutrophil cytoplasmic antibody)- associated crescentic glomerulonephritis?,the segmental distribution
image72,What are these nests composed of?,uniform cuboidal cells having granular cytoplasm
image72,What are composed of uniform cuboidal cells having granular cytoplasm?,these nests
image72,What does the tumour show?,a characteristic nested of cells separated by fibrovascular septa
image73,What is laboratory findings of ITP contrasted with?,those found normal individual
image73,How is laboratory findings of ITP contrasted?,with those found normal individual
image73,What shows presence of reduced number of platelets which are often large?,peripheral blood in itp
image73,What shows characteristically increased number of megakaryocytes with single non-lobulated nuclei and reduced cytoplasmic granularity inbox on right photomicrograph?,bone marrow in itp
image73,What is contrasted with those found in a normal individual?,laboratory findings of itp individual
image74,What does silver stain highlight?,the broad-based budding seen in blastomyces immitis organisms
image74,What highlights the broad-based budding seen in Blastomyces immitis organisms?,silver stain
image75,"What is accomplished in 4 sequential stages: prophase, metaphase, anaphase, and telophase?",m (mitotic) telophase
image75,"What are the G1, S and G2 phase while M phase is accomplished in 4 sequential stages: prophase, metaphase, anaphase, and telophase?",premitotic phases (mitotic) telophase
image75,"What are premitotic phases while M phase is accomplished in 4 sequential stages: prophase, metaphase, anaphase, and telophase?",the G1
image75,"What are formed which may continue to remain in the cell cycle or go out of it in resting phase interphase, the G0 phase on completion of cell division?",two daughter cells
image75,How are two daughter cells formed?,on completion of division
image76,What does the sectioned surface show?,replacement of almost whole kidney
image76,How does the sectioned surface show replacement of almost whole kidney?,by the tumour leaving a thin strip of compressed renal tissue at lower end
image76,What shows replacement of almost whole kidney by the tumour leaving a thin strip of compressed renal tissue at lower end?,sectioned surface
image77,What had the congenital capillary hemangioma at 2 years of age after the lesion undergone?,spontaneous regression
image78,"What is of a fungating or exophytic, cauliflower-like tumour?",invasive carcinoma of the cervix common gross appearance
image78,"What is of the cervix common gross appearance of or exophytic, cauliflower-like tumour?",invasive carcinoma
image78,What shows replacement of the cervix by irregular greywhite friable growth extending into cervical canal as well as distally into attached vaginal cuff?,gross photograph on right
image79,What show an inflammatory reaction in the myocardium after ischemic necrosis infarction?,the photomicrographs
image79,When do the photomicrographs show an inflammatory reaction in the myocardium ?,after ischemic necrosis infarction
image79,What do the photomicrographs show in the myocardium after ischemic necrosis infarction?,an inflammatory reaction
image80,"What does the histologic view show overlying the stent wires (black diamond indicated by the arrow), which encroaches on the lumen (asterisk)?",a thickened neointima
image80,What shows a thickened neointima overlying the stent wires black diamond encroaches on the lumen asterisk?,histologic view
image81,What has an expansile growth pattern with pushing circumscribed borders?,this benign tumor
image81,What does this benign tumor have ?,an expansile growth pattern with pushing circumscribed borders
image82,What does modified silver stain demonstrate?,clusters of tangled bacilli
image82,What demonstrates clusters of tangled bacilli (black)?,modified silver (warthin-starry) stain
image82,What are histologic features?,acute inflammation and capillary proliferation
image82,What are those of acute inflammation and capillary proliferation?,histologic features
image83,When do the photomicrographs show an inflammatory reaction in the myocardium after ischemic necrosis infarction?,after ischemic necrosis infarction
image83,What show an inflammatory reaction in the myocardium after ischemic necrosis infarction?,the photomicrographs
image83,What do the photomicrographs show in the myocardium after ischemic necrosis infarction?,an inflammatory reaction
image83,When do the photomicrographs show an inflammatory reaction in the myocardium ?,after ischemic necrosis infarction
image83,Where do the photomicrographs show an inflammatory reaction after ischemic necrosis infarction?,in the myocardium
image84,What are remote contusions seen as?,discolored yellow areas
image84,What are present on the inferior frontal surface of this brain?,remote contusions
image85,What surround an area of early myelin loss?,enlarged oligodendrocyte nuclei
image85,What do enlarged oligodendrocyte nuclei stained for viral antigens  surround?,areas of early myelin loss
image86,What does the smear show?,koilocytes having abundant vacuolated cytoplasm and nuclear enlargement
image86,What have irregular nuclear outlines?,scanty cytoplasm and markedly hyperchromatic nuclei
image86,What do the squamous cells have?,scanty cytoplasm and markedly hyperchromatic nuclei having irregular nuclear outlines
image86,What did scanty cytoplasm and markedly hyperchromatic nuclei have?,irregular nuclear outlines
image86,What have scanty cytoplasm and markedly hyperchromatic nuclei having irregular nuclear outlines?,squamous cells
image87,How is the testis?,enlarged and nodular distorting the testicular contour
image87,"What shows replacement of the entire testis by variegated mass having grey-white solid areas, cystic areas, honey-combed areas and foci of cartilage and bone?",sectioned surface
image87,What does sectioned surface show?,replacement of the entire testis by variegated mass having grey-white solid areas
image87,How does sectioned surface show replacement of the entire testis?,by variegated mass having grey-white solid areas
image88,What is the circumscribed lesion composed of?,mature collagenised fibrous connective tissue
image88,What is composed of mature collagenised fibrous connective tissue?,circumscribed lesion
image89,What exhibit acantholysis?,atypical squamous cells
image89,What does the tumor invade?,the dermal soft tissue as irregular projections of atypical squamous cells exhibiting acantholysis
image89,What invades the dermal soft tissue as irregular projections of atypical squamous cells exhibiting acantholysis?,the tumor
image90,What is firm and fibrous?,cut surface of the mass
image90,What is circumscribed with irregular surface convolutions and prominent blood vessels?,tumour mass
image91,What had undergone spontaneous regression?,congenital capillary hemangioma at birth and at 2 years of age after the lesion
image91,When did the congenital capillary hemangioma after the lesion undergone spontaneous regression?,at 2 years of age after the lesion
image92,What does the congested portion of the ileum correspond to?,areas of hemorrhagic infarction and transmural necrosis 
image92,What corresponds to areas of hemorrhagic infarction and transmural necrosis?,the congested portion of the ileum
image93,What do carcinomas consist of?,tightly adhesive clusters of cells
image94,What shows mottled appearance-alternate pattern of dark congestion and pale fatty change?,the cut surface
image95,What is caused by hypoxia/ischaemia?,sequence of events
image95,How is sequence of events in the pathogenesis of reversible and irreversible cell injury caused?,by hypoxia/ischaemia
image96,What is markedly enlarged?,the kidney 
image97,What fills phagocytes in a lymph node of a patient with disseminated histoplasmosis?,histoplasma capsulatum yeast forms
image97,What do histoplasma capsulatum yeast forms fill?,phagocytes in the lymph node of a patient with disseminated histoplasmosis
image98,Whose densely stained nuclei (labeled T) are shown?,t lymphocytes
image98,What can infiltration of the surface epithelium by T lymphocytes be recognized by?,densely stained nuclei
image99,What are seen in this specimen from an immunosuppressed patient?,sheets of macrophages packed with mycobacteria
image99,What are sheets of macrophages packed with mycobacteria seen in?,a specimen from an immunosuppressed patient
image100,What is contrasted against normal cellular marrow?,against normal cellular marrow
image100,What are there of cellular components composed chiefly of lymphoid cells?,scanty foci
image100,What are scanty foci of cellular components composed chiefly of?,lymphoid cells
image100,How does the biopsy show suppression of myeloid and erythroid cells and replacement of haematopoetic elements in aplastic anaemia?,by fat
image100,What does the biopsy show?,suppression of myeloid and erythroid cells and replacement of haematopoetic elements by fat in aplastic anaemia
image100,What shows suppression of myeloid and erythroid cells and replacement of haematopoetic elements by fat in aplastic anaemia?,the biopsy
image100,What is bone marrow trephine biopsy in aplastic anaemia contrasted against?,normal cellular marrow
image100,What in aplastic anaemia is contrasted against normal cellular marrow?,bone marrow trephine biopsy
image101,What shows bright fibres of silica?,polarising microscopy in photomicrograph on right
image101,What does the silicotic nodule consist of?,hyaline centre surrounded by concentric layers of collagen
image101,What consists of hyaline centre surrounded by concentric layers of collagen which are further enclosed by fibroblasts and dust-laden macrophages?,silicotic nodule
image102,"What are large, with round to convoluted nuclei having high n/c ratio and no cytoplasmic granularity?",the cells
image103,What does sectioned slice of the liver show?,pale yellow parenchyma with rounded borders
image103,What shows pale yellow parenchyma with rounded borders?,sectioned slice of the liver borders
image104,What predominate in the tumour while the stroma is composed of fine and delicate fibrous tissue?,clear cells
image104,What does the tumour show?,solid masses and acini of uniform-appearing tumour cells
image104,What is the stroma composed of?,fine and delicate fibrous tissue
image105,"What exposes subendothelium, initiating adherence of platelets and activation of coagulation system?",endothelial injury
image105,What is formed called thrombus?,some leucocytes and red cells and tight meshwork
image105,What forms fibrin strands in which are entangled some leucocytes and red cells and a tight meshwork is formed called thrombus?,activated coagulation system
image106,How did note bowing of legs as a consequence of the formation of poorly mineralize bone in a child?,with rickets
image106,What is bowing of legs the consequence of?,the formation of poorly mineralized bone in a child 
image107,What are numerous islands of extramedullary hematopoiesis scattered among in this histologic preparation from an infant with nonimmune hydrops fetalis?,mature hepatocytes
image107,What are scattered among mature hepatocytes in this histologic preparation from an infant with nonimmune hydrops fetalis?,numerous islands of  extramedullary hematopoiesis
image108,What is hematoxylin-eosin stain?,hyaline membrane disease
image109,What is the arteriolar wall thickened with?,the deposition of amorphous proteinaceous material
image109,What is thickened with the deposition of amorphous proteinaceous material (hyalinized)?,the arteriolar wall
image109,What is markedly narrowed?,the lumen
image110,How does the tumour show?,with numerous interspersed multinucleate giant cells lyning in a background of fibrous tissue
image110,What does the tumour show?,infiltrate of small oval to spindled histiocytes with numerous interspersed multinucleate giant cells lyning in a background of fibrous tissue
image111,What does the opened up uterine cavity show?,an intrauterine gestation sac with placenta having grey-white whorled pattern
image111,How does the opened up uterine cavity show an intrauterine gestation sac?,with placenta having grey-white whorled pattern
image111,What shows an intrauterine gestation sac with placenta having grey-white whorled pattern?,opened up uterine cavity
image111,What does sectioned surface of the uterus show?,multiple circumscribed
image111,"What shows multiple circumscribed, firm nodular masses of variable sizes-submucosal in location having characteristic whorling?",sectioned surface of the uterus
image112,What consists of haematopoietic tissue?,approximately 50% of the soft tissue of the bone
image112,When is a normal bone marrow in an adult seen seen in a section ?,after trephine biopsy
image112,What support the marrow-containing tissue?,bony trabeculae
image112,What is fatty marrow?,50% of the soft tissue of the bone
image112,How many percent of the soft tissue of the bone consists of haematopoietic tissue?,approximately 50%
image112,When is a normal bone marrow in an adult seen seen in a section ?,after trephine biopsy
image112,What does approximately 50 % of the soft tissue of the bone consist of?,haematopoietic tissue
image112,What is normal bone marrow in an adultseen in after trephine biopsy?,a section after trephine biopsy
image113,When is failure to stain due to enzyme loss?,after cell death
image113,What is due to enzyme loss after cell death?,failure to stain
image113,What were all three transverse sections of myocardium stained with?,triphenyltetra-zolium chloride
image113,"What were stained with triphenyltetra-zolium chloride,  an enzyme substrate that colors viable myocardium magenta?",all three transverse sections of myocardium
image113,What does the transmural light area in the posterolateral left ventricle represent in the specimen showing necrosis?,acute myocardial infarction
image113,What represents an acute myocardial infarction in the specimen showing necrosis?,the transmural light area in the posterolateral left ventricle
image113,"What shows functional effects without any gross or light microscopic changes,  or reversible changes such as cellular swelling and fatty change?",reversibly injured myocardium
image113,"How many cm (normal,  1-1.5 cm) is the left ventricular wall thicker than in the example of myocardial hypertrophy lower left?",2 cm
image113,"What is thicker than 2 cm (normal,  1-1.5 cm) in the example of myocardial hypertrophy lower left?",the left ventricular wall
image113,What is ischemic coagulative necrosis?,the irreversible injury
image113,What is hypertrophy?,the cellular adaptation depicted here
image113,What is ischemia?,the cause of reversible injury
image113,What is the irreversible injury?,ischemic coagulative necrosis
image114,How does low-power view of a cross section of a skin blister show the epidermis separated from the dermis?,by a focal collection serous effusion
image114,What does the low-power view of a cross section of a skin blister show?,the epidermis separated from the dermis by a focal collection serous effusion
image114,What is separated from the dermis by a focal collection of serous effusion?,the epidermis
image115,What does the cystoscopic appearance of the papillary urothelial tumor resemble?,resemble coral
image115,"What resemble coral,  within the bladder?",papillary urothelial tumor
image116,What is shown that is a common feature of nonproliferative breast disease?,an apocrine cyst
image116,What is an apocrine cyst?,a common feature of nonproliferative breast disease
image117,"What distorts the glandular tissue,  forming cleftlike spaces,  and bulges into surrounding stroma?",proliferating stromal cells
image117,What do proliferating stromal cells distort?,the glandular tissue
image118,What is called the Prussian blue reaction?,a special staining process
image118,What is shown by a special staining process called the Prussian blue reaction?,iron deposits
image119,What are large and hyperchromatic?,the nuclei
image120,What stained red and cytoplasm green?,healthy neutrophils with nuclei
image121,What is equipments required for?,transcutaneous fnac
image122,What shows Ziehl-Neelsen staining having many tubercle bacilli?,fna lymph node
image122,Who does inbox show?,tuberculous lymphadenitis
image123,What is attached to the dura with compression of underlying brain?,parasagittal multilobular meningioma 
image123,What is parasagittal multilobular meningioma attached to?,the dura with compression of underlying brain
image123,How is parasagittal multilobular meningioma attached?,to the dura with compression of underlying brain
image124,What are included in the cystlike structure visible just above the buttocks?,both meninges and spinal cord parenchyma
image124,What are both meninges and spinal cord parenchyma included in?,the cystlike structure visible just above the buttocks
image125,"What is surrounded by inflammatory cells, fibroblasts and occasional giant cells?",gouty tophus
image125,"What is gouty tophus, showing central aggregates of urate crystals surrounded by?",inflammatory cells
image125,"How is gouty tophus, showing central aggregates of urate crystals surrounded?",by inflammatory cells
image126,Where is the epidermis?,on the left side of the fluorescent band
image127,Where are lesions owing to excessive scale present?,on the cheek and nose
image128,What does this appearance imply?,impending perforation
image128,What implies impending perforation?,the entire small bowel was markedly distended and perilously thin
image129,What develop long-term neurologic sequelae?,infants who survive
image129,What occurs because the blood-brain barrier is less developed in the neonatal period than it is in adulthood?,severe hyperbilirubinemia
image129,What is less developed in the neonatal period than it is in adulthood?,the blood-brain barrier
image130,What is there of the GBM?,widespread thickening
image130,What do the glomerular tufts show?,lobulation and mesangial hypercellularity
image130,What show lobulation and mesangial hypercellularity?,glomerular tufts
image131,What is seen?,gamna-gandy body
image131,Where is increased fibrosis?,in the red pulp
image131,What are dilated and congested?,the sinuses
image132,What is in chronic pyelonephritis with calyectasis?,small contracted kidney
image133,"What shows irregular, circumscribed, yellowish mass with areas of haemorrhages and necrosis?",sectioned surface
image133,What does the upper pole of the kidney show?,a large and tan mass
image133,What shows a large and tan mass while rest of the kidney has reniform contour?,upper pole of the kidney
image133,What does rest of the kidney have?,reniform contour 
image133,What has reniform contour?,rest of the kidney
image134,What does platelet aggregation form?, tight plug
image134,What forms a tight plug?,platelet aggregation
image134,What is dispersed in the cell?,normal non-activated platelet
image135,What shows undifferentiated retinal cells and the typical rosettes?,tumour arising from the retina
image136,What can produce fatty liver by different etiologic agents?,defects in any of the six numbered steps
image137,What are lymphoid aggregates with germinal centers and abundant subepi-thelial plasma cells within the superficial lamina propria?,characteristics of h pylori gastritis
image137,What are characteristic of H. pylori gastritis?,lymphoid aggregates with germinal centers and abundant subepithelial plasma cells within the superficial lamina propria
image138,What did osmotic fragility testing beta-thalassaemia major show?,decreased fragility
image139,What does the cut surface of lung show?,markedly dilated bronchi filled with purulent mucus that extend to subpleural regions
image139,What shows markedly dilated bronchi filled with purulent mucus that extend to subpleural regions?,cut surface of lung
image140,What are the bronchioles as well as the adjacent alveoli filled with?,exudate consisting chiefly of neutrophils
image140,Why are the alveolar septa thickened?,due to congested capillaries and neutrophilic infiltrate
image140,What are thickened due to congested capillaries and neutrophilic infiltrate?,alveolar septa
image140,What are filled with exudate consisting chiefly of neutrophils?,bronchioles as well as the adjacent alveoli
image141,What is some fibrosis present in?,the characteristic perisinusoidal chicken wire fence pattern
image141,What is present in a characteristic perisinusoidal chicken wire fence pattern (Masson trichrome stain)?,some fibrosis
image141,What is fatty liver disease associated with?,chronic alcohol use
image141,What is associated with chronic alcohol use?,fatty liver disease
image141,How is fatty liver disease associated?,with chronic alcohol use
image142,What undergoes metaplastic change to columnar epithelium of intestinal type?,part of the oesophagus 
image143,When are most scars gone Masson trichrome stain?,after 1 year of abstinence
image143,When are most scars gone Masson trichrome stain?,after abstinence
image143,When are most scars gone?,after 1 year of abstinance
image143,What are gone after 1 year of abstinence?,most scars
image144,What is the adenoma distinguished from?,nodular hyperplasia by its solitary
image144,"What is distinguished from nodular hyperplasia by its solitary,  circumscribed nature?",the adenoma
image145,What does rest of the hepatic parenchyma in the upper part of the picture show?,many nodules of variable sizes
